=== Fold 0/3  train=1708  val=854 ===
[fold 2 | phase1 4/5] train_loss=1.796 val_loss=1.383 val_acc=0.628 val_qwk=0.723  (549.3s)
[fold 2 | phase1 5/5] train_loss=1.789 val_loss=1.381 val_acc=0.635 val_qwk=0.724  (549.3s)
[fold 2 | phase2 1/20] train_loss=1.655 val_loss=1.187 val_acc=0.643 val_qwk=0.745  (562.8s)
[fold 2 | phase2 2/20] train_loss=1.545 val_loss=1.136 val_acc=0.651 val_qwk=0.800  (561.7s)
[fold 2 | phase2 3/20] train_loss=1.516 val_loss=1.024 val_acc=0.687 val_qwk=0.814  (554.4s)
[fold 2 | phase2 4/20] train_loss=1.521 val_loss=1.031 val_acc=0.681 val_qwk=0.829  (549.6s)
[fold 2 | phase2 5/20] train_loss=1.433 val_loss=0.995 val_acc=0.720 val_qwk=0.832  (549.1s)
[fold 2 | phase2 6/20] train_loss=1.349 val_loss=0.985 val_acc=0.710 val_qwk=0.828  (549.7s)
[fold 2 | phase2 7/20] train_loss=1.368 val_loss=0.968 val_acc=0.710 val_qwk=0.819  (550.9s)
[fold 2 | phase2 8/20] train_loss=1.323 val_loss=0.941 val_acc=0.718 val_qwk=0.810  (554.2s)
[fold 2 | phase2 9/20] train_loss=1.289 val_loss=0.918 val_acc=0.732 val_qwk=0.862  (554.9s)
[fold 2 | phase2 10/20] train_loss=1.290 val_loss=0.911 val_acc=0.739 val_qwk=0.869  (553.6s)
[fold 2 | phase2 11/20] train_loss=1.237 val_loss=0.889 val_acc=0.747 val_qwk=0.871  (554.0s)
[fold 2 | phase2 12/20] train_loss=1.265 val_loss=0.889 val_acc=0.733 val_qwk=0.868  (555.2s)
[fold 2 | phase2 13/20] train_loss=1.265 val_loss=0.889 val_acc=0.746 val_qwk=0.875  (555.0s)
[fold 2 | phase2 14/20] train_loss=1.322 val_loss=0.873 val_acc=0.749 val_qwk=0.879  (554.4s)
[fold 2 | phase2 15/20] train_loss=1.300 val_loss=0.865 val_acc=0.753 val_qwk=0.876  (556.1s)
[fold 2 | phase2 16/20] train_loss=1.160 val_loss=0.844 val_acc=0.756 val_qwk=0.880  (556.5s)
[fold 2 | phase2 17/20] train_loss=1.117 val_loss=0.835 val_acc=0.752 val_qwk=0.888  (555.2s)
[fold 2 | phase2 18/20] train_loss=1.131 val_loss=0.830 val_acc=0.759 val_qwk=0.877  (554.5s)
[fold 2 | phase2 19/20] train_loss=1.228 val_loss=0.823 val_acc=0.760 val_qwk=0.868  (552.4s)
[fold 2 | phase2 20/20] train_loss=1.158 val_loss=0.853 val_acc=0.759 val_qwk=0.895  (549.8s)

CV done: val QWK = 0.877 +/- 0.018
